Ensembl ID,Symbol,Alias symbol,Total_Support,Is Oncogene,Is Tumor Suppressor Gene,In OnkoKB,PubmedID
ENSG00000105258,POLR2I,,396,,,False,
ENSG00000133026,MYH10,,396,,,False,
ENSG00000104826,LHB,,396,,,False,
ENSG00000111725,PRKAB1,,394,,,False,
ENSG00000115290,GRB14,,394,,,False,
ENSG00000132356,PRKAA1,,394,,,False,
ENSG00000162409,PRKAA2,,394,,,False,
,URF-RET,,394,,,False,
ENSG00000006607,FARP2,,392,,,False,
ENSG00000147896,IFNK,,392,,,False,
ENSG00000114115,RBP1,,392,,,False,
ENSG00000131791,PRKAB2,,392,,,False,
,IFNE1,,392,,,False,
ENSG00000164220,F2RL2,,392,,,False,
ENSG00000177047,IFNW1,,392,,,False,
ENSG00000106617,PRKAG2,,392,,,False,
ENSG00000285343,PPP1R3B,,390,,,False,
ENSG00000119938,PPP1R3C,,390,,,False,
ENSG00000132825,PPP1R3D,,390,,,False,
,DKFZP781B0869,,390,,,False,
ENSG00000169245,CXCL10,,390,,,False,
ENSG00000122779,TRIM24,"RNF82, TIF1, TIF1A, Tif1a, hTIF1",390,No,No,True,
ENSG00000110777,POU2AF1,"BOB1, OBF1",388,No,No,True,
ENSG00000205810,KLRC3,,388,,,False,
ENSG00000204673,AKT1S1,"Lobe, MGC2865, PRAS40",388,Yes,No,True,
ENSG00000205809,KLRC2,,388,,,False,
,MDM2 ISOFORM KB9,,388,,,False,
ENSG00000044524,EPHA3,"ETK, ETK1, HEK, HEK4, TYRO4",388,No,Yes,True,
ENSG00000196235,SUPT5H,,388,,,False,
ENSG00000147403,RPL10,"DXS648, DXS648E, FLJ23544, L10, QM",388,No,No,True,
ENSG00000010278,CD9,,386,,,False,
ENSG00000156738,MS4A1,"B1, Bp35, CD20, FMC7",384,No,No,True,
ENSG00000149124,GLYAT,,384,,,False,
ENSG00000141655,TNFRSF11A,"CD265, FEO, LOH18CR1, PDB2, RANK",384,No,No,True,
ENSG00000173083,HPSE,,384,,,False,
ENSG00000156976,EIF4A2,"BM-010, DDX2B",384,Yes,No,True,
ENSG00000276781,CHGA,,382,,,False,
ENSG00000164045,CDC25A,,382,,,False,
ENSG00000168646,AXIN2,"DKFZp781B0869, MGC126582",382,No,Yes,True,
ENSG00000160752,FDPS,,380,,,False,
ENSG00000275365,MMP11,,380,,,False,
ENSG00000285048,IRF9,,380,,,False,
ENSG00000284835,DEFA3,,380,,,False,
ENSG00000146535,GNA12,gep,378,Yes,No,True,
ENSG00000131808,FSHB,,378,,,False,
ENSG00000123124,WWP1,"AIP5, DKFZP434D2111",378,Yes,No,True,
ENSG00000092201,SUPT16H,,378,,,False,
ENSG00000276043,UHRF1,,378,,,False,
ENSG00000196344,ADH7,,378,,,False,
ENSG00000105701,FKBP8,,378,,,False,
ENSG00000153560,UBP1,,378,,,False,
ENSG00000284764,PINX1,,376,,,False,
ENSG00000137693,YAP1,YAP65,376,Yes,No,True,
ENSG00000140451,PIF1,,376,,,False,
ENSG00000070366,SMG6,,376,,,False,
ENSG00000113790,EHHADH,,376,,,False,
ENSG00000173193,PARP14,,374,,,False,
ENSG00000115041,KCNIP3,,372,,,False,
ENSG00000101076,HNF4A,,372,,,False,
ENSG00000122877,EGR2,KROX20,372,No,Yes,True,
ENSG00000176165,FOXG1,,372,,,False,
ENSG00000187735,TCEA1,"GTF2S, SII, TCEA, TF2S, TFIIS",372,No,No,True,
ENSG00000070019,GUCY2C,,372,,,False,
ENSG00000145604,SKP2,,370,,,False,
ENSG00000134539,KLRD1,,368,,,False,
ENSG00000198911,SREBF2,,368,,,False,
ENSG00000162704,ARPC5,,368,,,False,
ENSG00000144891,AGTR1,,366,,,False,
,GCN5L2,,366,,,False,
ENSG00000284816,EPHA1,,366,,,False,
ENSG00000115266,APC2,,366,,,False,
ENSG00000101146,RAE1,,366,,,False,
,G6PC,,366,,,False,
ENSG00000095319,NUP188,,366,,,False,
ENSG00000108559,NUP88,,364,,,False,
ENSG00000163002,NUP35,,364,,,False,
ENSG00000102900,NUP93,KIAA0095,364,No,No,True,
ENSG00000138073,PREB,,364,,,False,
ENSG00000094914,AAAS,,364,,,False,
ENSG00000196313,POM121,,364,,,False,
ENSG00000101470,TNNC2,,364,,,False,
ENSG00000133636,NTS,,362,,,False,
,NUPL1,,362,,,False,
ENSG00000070770,CSNK2A2,,362,,,False,
ENSG00000285070,ADIPOR2,,362,,,False,
ENSG00000138750,NUP54,,362,,,False,
ENSG00000093000,NUP50,,362,,,False,
ENSG00000113569,NUP155,,362,,,False,
ENSG00000143603,KCNN3,,362,,,False,
ENSG00000155561,NUP205,,362,,,False,
ENSG00000266094,RASSF5,,360,,,False,
,NUPL2,,360,,,False,
ENSG00000125851,PCSK2,,360,,,False,
ENSG00000170917,NUDT6,,360,,,False,
,CGB,,358,,,False,
ENSG00000196371,FUT4,,358,,,False,
ENSG00000177700,POLR2L,,356,,,False,
ENSG00000135577,NMBR,,356,,,False,
ENSG00000060982,BCAT1,,356,,,False,
ENSG00000144852,NR1I2,,356,,,False,
ENSG00000184160,ADRA2C,,354,,,False,
ENSG00000171867,PRNP,,354,,,False,
ENSG00000137819,PAQR5,,354,,,False,
ENSG00000144355,DLX1,,354,,,False,
ENSG00000115738,ID2,,354,,,False,
ENSG00000274286,ADRA2B,,352,,,False,
ENSG00000149295,DRD2,,352,,,False,
ENSG00000151577,DRD3,,352,,,False,
ENSG00000276825,DRD4,,352,,,False,
ENSG00000230463,HLA-DRB3,,352,,,False,
,MINA,,352,,,False,
ENSG00000277044,OPRL1,,352,,,False,
ENSG00000128016,ZFP36,,352,,,False,
ENSG00000165617,DACT1,,352,,,False,
ENSG00000157152,SYN2,,352,,,False,
ENSG00000099817,POLR2E,,352,,,False,
ENSG00000088205,DDX18,,352,,,False,
